Listing...
libmagickcore-6.q16-3-extra/oldstable 8:6.9.7.4+dfsg-11+deb9u12 amd64 [upgradable from: 8:6.9.7.4+dfsg-11+deb9u7]
libmagickwand-6.q16-3/oldstable 8:6.9.7.4+dfsg-11+deb9u12 amd64 [upgradable from: 8:6.9.7.4+dfsg-11+deb9u7]
libmariadbclient18/oldstable 10.1.48-0+deb9u2 amd64 [upgradable from: 10.1.38-0+deb9u1]
libnghttp2-14/oldstable,oldstable 1.18.1-1+deb9u1 amd64 [upgradable from: 1.18.1-1]
libnss3/oldstable 2:3.26.2-1.1+deb9u2 amd64 [upgradable from: 2:3.26.2-1.1+deb9u1]
libopenexr22/oldstable 2.2.0-11+deb9u2 amd64 [upgradable from: 2.2.0-11+b1]
libopenjp2-7/oldstable 2.1.2-1.1+deb9u6 amd64 [upgradable from: 2.1.2-1.1+deb9u3]
libopenmpt-modplug1/oldstable 0.2.7386~beta20.3-3+deb9u4 amd64 [upgradable from: 0.2.7386~beta20.3-3+deb9u3]
libopenmpt0/oldstable 0.2.7386~beta20.3-3+deb9u4 amd64 [upgradable from: 0.2.7386~beta20.3-3+deb9u3]
libp11-kit0/oldstable 0.23.3-2+deb9u1 amd64 [upgradable from: 0.23.3-2]
libpam-systemd/oldstable 232-25+deb9u12 amd64 [upgradable from: 232-25+deb9u11]
libperl5.24/oldstable 5.24.1-3+deb9u7 amd64 [upgradable from: 5.24.1-3+deb9u5]
libpoppler-glib8/oldstable 0.48.0-2+deb9u4 amd64 [upgradable from: 0.48.0-2+deb9u2]
libpoppler64/oldstable 0.48.0-2+deb9u4 amd64 [upgradable from: 0.48.0-2+deb9u2]
libpostproc54/oldstable 7:3.2.15-0+deb9u2 amd64 [upgradable from: 7:3.2.14-1~deb9u1]
libproxy-tools/oldstable 0.4.14-2+deb9u2 amd64 [upgradable from: 0.4.14-2]
libproxy1v5/oldstable 0.4.14-2+deb9u2 amd64 [upgradable from: 0.4.14-2]
libpython2.7/oldstable 2.7.13-2+deb9u5 amd64 [upgradable from: 2.7.13-2+deb9u3]
libpython2.7-dev/oldstable 2.7.13-2+deb9u5 amd64 [upgradable from: 2.7.13-2+deb9u3]
libpython2.7-minimal/oldstable 2.7.13-2+deb9u5 amd64 [upgradable from: 2.7.13-2+deb9u3]
libpython2.7-stdlib/oldstable 2.7.13-2+deb9u5 amd64 [upgradable from: 2.7.13-2+deb9u3]
libpython3.5/oldstable 3.5.3-1+deb9u4 amd64 [upgradable from: 3.5.3-1+deb9u1]
libpython3.5-dev/oldstable 3.5.3-1+deb9u4 amd64 [upgradable from: 3.5.3-1+deb9u1]
libpython3.5-minimal/oldstable 3.5.3-1+deb9u4 amd64 [upgradable from: 3.5.3-1+deb9u1]
libpython3.5-stdlib/oldstable 3.5.3-1+deb9u4 amd64 [upgradable from: 3.5.3-1+deb9u1]
libqt5concurrent5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5core5a/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5dbus5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5gui5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5network5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5opengl5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5opengl5-dev/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5printsupport5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5sql5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5sql5-sqlite/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5svg5/oldstable 5.7.1~20161021-2.1 amd64 [upgradable from: 5.7.1~20161021-2+b2]
libqt5svg5-dev/oldstable 5.7.1~20161021-2.1 amd64 [upgradable from: 5.7.1~20161021-2+b2]
libqt5test5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5widgets5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
libqt5xml5/oldstable 5.7.1+dfsg-3+deb9u3 amd64 [upgradable from: 5.7.1+dfsg-3+deb9u1]
librsvg2-2/oldstable 2.40.21-0+deb9u1 amd64 [upgradable from: 2.40.16-1+b1]
librsvg2-bin/oldstable 2.40.21-0+deb9u1 amd64 [upgradable from: 2.40.16-1+b1]
librsvg2-common/oldstable 2.40.21-0+deb9u1 amd64 [upgradable from: 2.40.16-1+b1]
libruby2.3/oldstable 2.3.3-1+deb9u9 amd64 [upgradable from: 2.3.3-1+deb9u6]
libsasl2-2/oldstable,oldstable 2.1.27~101-g0780600+dfsg-3+deb9u1 amd64 [upgradable from: 2.1.27~101-g0780600+dfsg-3]
libsasl2-modules/oldstable,oldstable 2.1.27~101-g0780600+dfsg-3+deb9u1 amd64 [upgradable from: 2.1.27~101-g0780600+dfsg-3]
libsasl2-modules-db/oldstable,oldstable 2.1.27~101-g0780600+dfsg-3+deb9u1 amd64 [upgradable from: 2.1.27~101-g0780600+dfsg-3]
libsdl-image1.2/oldstable 1.2.12-5+deb9u2 amd64 [upgradable from: 1.2.12-5+deb9u1]
libsmbclient/oldstable 2:4.5.16+dfsg-1+deb9u3 amd64 [upgradable from: 2:4.5.16+dfsg-1+deb9u2]
libsndfile1/oldstable 1.0.27-3+deb9u1 amd64 [upgradable from: 1.0.27-3]
libsqlite3-0/oldstable 3.16.2-5+deb9u3 amd64 [upgradable from: 3.16.2-5+deb9u1]
libss2/oldstable 1.43.4-2+deb9u2 amd64 [upgradable from: 1.43.4-2]
libssh-gcrypt-4/oldstable 0.7.3-2+deb9u3 amd64 [upgradable from: 0.7.3-2+deb9u2]
libssl1.0.2/oldstable 1.0.2u-1~deb9u4 amd64 [upgradable from: 1.0.2r-1~deb9u1]
libssl1.1/oldstable 1.1.0l-1~deb9u3 amd64 [upgradable from: 1.1.0j-1~deb9u1]
libswresample2/oldstable 7:3.2.15-0+deb9u2 amd64 [upgradable from: 7:3.2.14-1~deb9u1]
libswscale4/oldstable 7:3.2.15-0+deb9u2 amd64 [upgradable from: 7:3.2.14-1~deb9u1]
libsystemd0/oldstable 232-25+deb9u12 amd64 [upgradable from: 232-25+deb9u11]
libtiff5/oldstable,oldstable 4.0.8-2+deb9u5 amd64 [upgradable from: 4.0.8-2+deb9u4]
libtimedate-perl/oldstable,oldstable 2.3000-2+deb9u1 all [upgradable from: 2.3000-2]
libturbojpeg0/oldstable 1:1.5.1-2+deb9u1 amd64 [upgradable from: 1:1.5.1-2]
libudev1/oldstable 232-25+deb9u12 amd64 [upgradable from: 232-25+deb9u11]
libupnp6/oldstable 1:1.6.19+git20160116-1.2+deb9u1 amd64 [upgradable from: 1:1.6.19+git20160116-1.2]
libvlc-bin/oldstable,oldstable 3.0.11-0+deb9u1 amd64 [upgradable from: 3.0.7-0+deb9u1]
libvlc5/oldstable,oldstable 3.0.11-0+deb9u1 amd64 [upgradable from: 3.0.7-0+deb9u1]
libvlccore9/oldstable,oldstable 3.0.11-0+deb9u1 amd64 [upgradable from: 3.0.7-0+deb9u1]
libvpx4/oldstable,oldstable 1.6.1-3+deb9u2 amd64 [upgradable from: 1.6.1-3+deb9u1]
libwavpack1/oldstable 5.0.0-2+deb9u3 amd64 [upgradable from: 5.0.0-2+deb9u2]
libwbclient0/oldstable 2:4.5.16+dfsg-1+deb9u3 amd64 [upgradable from: 2:4.5.16+dfsg-1+deb9u2]
libx11-6/oldstable 2:1.6.4-3+deb9u3 amd64 [upgradable from: 2:1.6.4-3+deb9u1]
libx11-data/oldstable,oldstable 2:1.6.4-3+deb9u3 all [upgradable from: 2:1.6.4-3+deb9u1]
libx11-dev/oldstable 2:1.6.4-3+deb9u3 amd64 [upgradable from: 2:1.6.4-3+deb9u1]
libx11-doc/oldstable,oldstable 2:1.6.4-3+deb9u3 all [upgradable from: 2:1.6.4-3+deb9u1]
libx11-xcb-dev/oldstable 2:1.6.4-3+deb9u3 amd64 [upgradable from: 2:1.6.4-3+deb9u1]
libx11-xcb1/oldstable 2:1.6.4-3+deb9u3 amd64 [upgradable from: 2:1.6.4-3+deb9u1]
libxml2/oldstable 2.9.4+dfsg1-2.2+deb9u3 amd64 [upgradable from: 2.9.4+dfsg1-2.2+deb9u2]
libxml2-utils/oldstable 2.9.4+dfsg1-2.2+deb9u3 amd64 [upgradable from: 2.9.4+dfsg1-2.2+deb9u2]
libxslt1.1/oldstable 1.1.29-2.1+deb9u2 amd64 [upgradable from: 1.1.29-2.1]
libzmq5/oldstable 4.2.1-4+deb9u4 amd64 [upgradable from: 4.2.1-4+deb9u1]
